bobby,0.13
bodies,-0.96
bodily,-0.33
body,0.05
boiling,0.72
bold,0.4
bomb,-1.52
bond,1.33
bonds,1.05
bone,-0.8
bones,0.52
bony,0.79
book,0.16
books,0.17
boom,-0.63
booming,-0.25
boost,0.13
boot,0.17
booth,-0.05
boots,0.46
border,-0.5
bore,0.52
bored,-2.56
boring,-2.42
born,0.95
boss,0.46
boston,0.01
botanical,0.1
both,-0.27
bother,-2.2
bothered,-2.19
bottle,-0.71
bottled,0.69
bottles,-0.6
bottom,0.24
bought,0.33
bound,0.26
bourne,0.2
bow,0.63
bowl,0.39
box,-0.03
boxes,0.19
boy,-1.1
boyfriend,1.34
boyish,1.26
boys,0.42
brad,-0.49
braided,0.79
brain,-0.5
brains,-0.48
branch,0
branches,0.08
brand,0.41
brass,0.33
brave,0.19
brazilian,0.04
bread,0.1
break,-0.02
breakfast,-0.47
breaking,0.03
breaks,-0.04
breast,-0.17
breasts,0.5
breath,-1.02
breathe,-0.97
breathing,-0.05
breathless,-0.23
breathtaking,-0.71
breeze,-0.25
brenda,0.09
brendan,0.1
brian,0.31
brick,0.11
bride,1.56
bridge,0.07
brief,-0.24
briefly,-0.15
bright,0.54
brighter,0.2
brightest,0.44
brilliant,1.76
bring,0.07
bringing,0.82
brings,0.72
brisk,0.74
britain,0.2
british,-0.04
brittle,-0.55
broad,0.36
broadband,0.15
broader,0.16
broadway,0.62
broke,-0.13
broken,-0.5
brooding,-0.3
brooklyn,0.16
brother,0.93
brothers,0.97
brought,0.01
brow,0.15
brown,1
bruce,0.12
bruised,-0.96
brush,0.13
brushed,0.15
brutal,-2.09
buck,-0.35
bucket,-0.45
bucks,-0.12
bud,-0.4
buddhist,0.05
budding,0.51
buddy,-0.2
budget,0.14
bug,-1.26
build,-0.31
building,0.04
buildings,-0.58
built,0.05
bulky,0.65
bull,-1.25
bullet,-0.61
bunch,-1.52
burden,-0.51
bureau,-0.28
bureaucratic,-0.2
burgeoning,-0.07
buried,0.39
burly,0.83
burn,-0.6
burned,-1.53
burning,-1.21
burns,-1.91
burnt,-0.35
burst,-0.59
bus,-0.15
bush,0.19
business,0.37
businesses,-0.07
bustling,0.02
busy,-0.54
butt,-0.05
butter,0.39
button,-0.15
buy,0.11
buying,0.19
c,0.57
ca,0.05
