object_category,object_type,price_display,price_display_type,price_unit,number_of_rooms,floor,is_furnished,is_temporary,is_selling_furniture,zipcode,city,latitude,longitude,year_built,year_renovated,moving_date_type,reserved,livingspace
0,2,4235.0,1,1,3.0,0.0,0.0,0.0,0.0,8005,2054,47.3874151,8.5196931,38.94638748274269,38.94638748274269,0,0.0,80.0
0,2,3934.0,1,1,2.0,0.0,0.0,0.0,0.0,8045,2054,47.3622505,8.5222218,38.94638748274269,38.94638748274269,0,0.0,41.0
0,2,4827.0,1,1,2.0,0.0,0.0,0.0,0.0,8045,2054,47.3622505,8.5222218,38.94638748274269,38.94638748274269,0,0.0,57.0
0,2,3519.0,1,1,2.0,0.0,0.0,0.0,0.0,8045,2054,47.3622505,8.5222218,38.94638748274269,38.94638748274269,0,0.0,32.0
0,2,3519.0,1,1,0.0,0.0,0.0,0.0,0.0,8045,2054,47.3622505,8.5222218,38.94638748274269,38.94638748274269,0,0.0,29.0
0,2,3104.0,1,1,0.0,0.0,0.0,0.0,0.0,8045,2054,47.3622505,8.5222218,38.94638748274269,38.94638748274269,0,0.0,31.0
0,2,4038.0,1,1,0.0,0.0,0.0,0.0,0.0,8045,2054,47.3622505,8.5222218,38.94638748274269,38.94638748274269,0,0.0,45.0
0,2,5180.0,1,1,0.0,0.0,0.0,0.0,0.0,8045,2054,47.3622505,8.5222218,38.94638748274269,38.94638748274269,0,0.0,70.0
0,2,4038.0,1,1,0.0,0.0,0.0,0.0,0.0,8045,2054,47.3622505,8.5222218,38.94638748274269,38.94638748274269,0,0.0,38.0
0,2,2481.0,1,1,0.0,0.0,0.0,0.0,0.0,8045,2054,47.3622505,8.5222218,38.94638748274269,38.94638748274269,0,0.0,18.0
0,2,3000.0,1,1,0.0,0.0,0.0,0.0,0.0,8045,2054,47.3622505,8.5222218,38.94638748274269,38.94638748274269,0,0.0,26.0
0,2,3415.0,1,1,0.0,0.0,0.0,0.0,0.0,8045,2054,47.3622505,8.5222218,38.94638748274269,38.94638748274269,0,0.0,33.0
0,2,1962.0,1,1,0.0,0.0,0.0,1.0,0.0,8050,2054,47.4140793,8.5452043,38.94638748274269,38.94638748274269,0,0.0,15.0
0,2,2481.0,1,1,0.0,0.0,0.0,0.0,0.0,8050,2054,47.4140793,8.5452043,38.94638748274269,38.94638748274269,0,0.0,22.0
0,21,3934.0,1,1,0.0,0.0,0.0,0.0,0.0,8050,2054,47.4140793,8.5452043,38.94638748274269,38.94638748274269,0,0.0,51.0
0,2,1962.0,1,1,0.0,0.0,0.0,0.0,0.0,8050,2054,47.4140456,8.5450737,38.94638748274269,38.94638748274269,0,0.0,17.0
0,2,2377.0,1,1,0.0,0.0,0.0,0.0,0.0,8050,2054,47.4140456,8.5450737,38.94638748274269,38.94638748274269,0,0.0,24.0
0,2,3208.0,1,1,0.0,0.0,0.0,0.0,0.0,8050,2054,47.4140456,8.5450737,38.94638748274269,38.94638748274269,0,0.0,36.0
0,2,4453.0,1,1,0.0,0.0,0.0,0.0,0.0,8050,2054,47.4140456,8.5450737,38.94638748274269,38.94638748274269,0,0.0,80.0
0,2,1962.0,1,1,0.0,0.0,0.0,0.0,0.0,8050,2054,47.4140595,8.5447901,38.94638748274269,38.94638748274269,0,0.0,22.0
0,2,2377.0,1,1,0.0,0.0,0.0,0.0,0.0,8050,2054,47.4140595,8.5447901,38.94638748274269,38.94638748274269,0,0.0,24.0
0,2,3208.0,1,1,0.0,0.0,0.0,0.0,0.0,8050,2054,47.4140595,8.5447901,38.94638748274269,38.94638748274269,0,0.0,34.0
0,2,3311.0,1,1,0.0,0.0,0.0,0.0,0.0,8050,2054,47.4140595,8.5447901,38.94638748274269,38.94638748274269,0,0.0,34.0
0,2,3104.0,1,1,0.0,0.0,0.0,0.0,0.0,8050,2054,47.4140595,8.5447901,38.94638748274269,38.94638748274269,0,0.0,39.0
0,2,2366.0,1,1,0.0,0.0,1.0,0.0,0.0,1003,976,46.5215474,6.6386641,38.94638748274269,38.94638748274269,0,0.0,26.0
0,2,2781.0,1,1,0.0,0.0,1.0,0.0,0.0,1003,976,46.5215474,6.6386641,38.94638748274269,38.94638748274269,0,0.0,35.0
0,2,3196.0,1,1,0.0,0.0,1.0,0.0,0.0,1003,976,46.5215474,6.6386641,38.94638748274269,38.94638748274269,0,0.0,45.0
0,2,3362.0,1,1,0.0,0.0,0.0,0.0,0.0,1007,976,46.5171677,6.6230244,38.94638748274269,38.94638748274269,0,0.0,48.0
0,2,2013.0,1,1,0.0,0.0,0.0,0.0,0.0,1007,976,46.5171677,6.6230244,38.94638748274269,38.94638748274269,0,0.0,17.0
0,2,2428.0,1,1,0.0,0.0,0.0,0.0,0.0,1007,976,46.5171677,6.6230244,38.94638748274269,38.94638748274269,0,0.0,23.0
0,2,2885.0,1,1,0.0,0.0,0.0,0.0,0.0,1007,976,46.5171677,6.6230244,38.94638748274269,38.94638748274269,0,0.0,29.0
0,2,3061.0,1,1,0.0,0.0,0.0,0.0,0.0,6300,2051,47.1770805,8.5176162,38.94638748274269,38.94638748274269,0,0.0,26.0
0,2,2542.0,1,1,0.0,0.0,0.0,0.0,0.0,6300,2051,47.1770805,8.5176162,38.94638748274269,38.94638748274269,0,0.0,15.0
0,2,2573.0,1,1,0.0,0.0,1.0,0.0,0.0,1025,1540,46.513752,6.5460075,38.94638748274269,38.94638748274269,0,0.0,28.0
0,2,1743.0,1,1,0.0,0.0,0.0,0.0,0.0,1025,1540,46.513752,6.5460075,38.94638748274269,38.94638748274269,0,0.0,15.0
0,2,2875.0,1,1,0.0,0.0,0.0,0.0,0.0,1025,1540,46.513752,6.5460075,38.94638748274269,38.94638748274269,0,0.0,43.0
4,37,969.0,1,1,0.0,0.0,0.0,0.0,0.0,1800,1864,46.4625879,6.8438308,38.94638748274269,38.94638748274269,0,0.0,6.0
4,37,969.0,1,1,0.0,0.0,0.0,0.0,0.0,1800,1864,46.462581603859,6.843831235599,38.94638748274269,38.94638748274269,0,0.0,8.0
4,37,900.0,1,1,0.0,0.0,0.0,0.0,0.0,1025,1540,46.513751609857,6.546001235597,38.94638748274269,38.94638748274269,0,0.0,11.0
4,37,1292.0,1,1,0.0,0.0,0.0,0.0,0.0,1025,1540,46.513751609857,6.546001235597,38.94638748274269,38.94638748274269,0,0.0,16.0
5,16,35.0,1,1,0.0,0.0,0.0,0.0,0.0,3098,1581,46.907721607855,7.416421235599,43.0,43.0,0,0.0,0.0
5,27,250.0,1,1,0.0,-1.0,0.0,0.0,0.0,1292,360,46.234171607855,6.139321235596,22.0,22.0,2,0.0,0.0
5,27,100.0,1,1,0.0,-2.0,0.0,0.0,0.0,4132,1156,47.523931608856,7.659571234595,51.0,18.0,0,0.0,0.0
5,49,300.0,1,1,0.0,0.0,0.0,0.0,0.0,1209,675,46.222281604852,6.131581234598,38.0,38.0,2,0.0,0.0
5,49,260.0,1,1,0.0,0.0,0.0,0.0,0.0,1223,401,46.202671606854,6.176151234592,50.0,50.0,2,0.0,0.0
4,48,200.0,0,4,0.0,1.0,0.0,0.0,0.0,2540,730,47.193041604851,7.396531234591,49.0,49.0,2,0.0,60.0
5,16,40.0,1,1,0.0,0.0,0.0,0.0,0.0,4143,488,47.487311605853,7.612601234595,58.0,22.0,0,0.0,0.0
4,37,150.0,0,4,0.0,1.0,0.0,0.0,0.0,4900,955,47.210981605853,7.787111235598,224.0,224.0,2,0.0,109.0
5,27,140.0,1,1,0.0,-1.0,0.0,0.0,0.0,8600,500,47.394711607855,8.604941234593,38.0,7.0,2,0.0,0.0
4,0,3000.0,0,4,0.0,0.0,0.0,0.0,0.0,1005,976,46.522641605853,6.632851234591,46.0,7.0,2,0.0,1.0
4,53,50.0,0,4,0.0,-3.0,0.0,0.0,0.0,1700,644,46.810021603859,7.148061234596,38.94638748274269,38.94638748274269,0,0.0,0.0
5,27,200.0,1,1,0.0,-3.0,0.0,0.0,0.0,1700,644,46.801181600858,7.151451234599,38.94638748274269,38.94638748274269,0,0.0,0.0
4,53,80.0,0,4,0.0,-2.0,0.0,0.0,0.0,1700,644,46.801701603859,7.150221233592,38.94638748274269,38.94638748274269,0,0.0,0.0
4,48,250.0,0,4,0.0,0.0,0.0,0.0,0.0,1700,644,46.801121609857,7.150931234596,16.0,16.0,0,0.0,0.0
5,27,141.0,1,1,0.0,-1.0,0.0,0.0,0.0,9470,291,47.173221604851,9.469471233597,12.0,12.0,0,0.0,0.0
4,14,180.0,0,4,0.0,2.0,0.0,0.0,0.0,8207,1567,47.718371606854,8.652681234595,38.94638748274269,38.94638748274269,0,0.0,215.0
4,14,2375.0,1,1,0.0,1.0,0.0,0.0,0.0,5417,1826,47.499271603859,8.255831235599,38.94638748274269,38.94638748274269,0,0.0,189.0
4,14,3424.0,1,1,0.0,1.0,0.0,0.0,0.0,9240,1842,47.438281606854,9.132031236592,38.94638748274269,38.94638748274269,0,0.0,321.0
4,14,3100.0,1,1,0.0,0.0,0.0,0.0,0.0,5415,1241,47.487941608856,8.290801234593,38.94638748274269,38.94638748274269,0,0.0,175.0
4,37,179.0,0,4,0.0,2.0,0.0,0.0,0.0,5004,5,47.392711607855,8.054431234594,38.94638748274269,38.94638748274269,0,0.0,553.0
5,27,230.0,1,1,0.0,-2.0,0.0,0.0,0.0,1203,675,46.204901604851,6.127791233592,19.0,19.0,2,0.0,0.0
4,37,185.0,0,4,0.0,1.0,0.0,0.0,0.0,1196,691,46.415811603851,6.268031234595,37.0,37.0,2,0.0,1016.0
4,4,191.0,0,4,0.0,1.0,0.0,0.0,0.0,1196,691,46.415521604851,6.267221234593,37.0,37.0,0,0.0,520.0
5,27,110.0,1,1,0.0,0.0,0.0,0.0,0.0,3098,1581,46.906131608856,7.416751234599,41.0,41.0,0,0.0,0.0
4,53,66.0,0,4,0.0,-1.0,0.0,0.0,0.0,3072,1324,46.957131604851,7.483001235591,33.0,33.0,0,0.0,917.0
4,37,271.0,0,4,0.0,4.0,0.0,0.0,0.0,6900,1044,46.007881605853,8.959011234592,33.0,5.0,2,0.0,180.0
4,14,2425.0,1,1,0.0,1.0,0.0,0.0,0.0,8400,1992,47.506451605853,8.718681235597,6.0,6.0,0,0.0,126.0
4,14,2745.0,1,1,0.0,2.0,0.0,0.0,0.0,8400,1992,47.506451605853,8.718681235597,6.0,6.0,0,0.0,142.0
5,27,120.0,1,1,0.0,-1.0,0.0,0.0,0.0,3004,178,46.970251603851,7.446221230591,25.0,25.0,2,0.0,0.0
4,37,1680.0,1,1,0.0,1.0,0.0,0.0,0.0,9450,72,47.378511600858,9.541341237599,104.0,104.0,0,0.0,95.0
4,14,170.0,0,4,0.0,1.0,0.0,0.0,0.0,3053,1173,47.029481603859,7.436641234593,23.0,23.0,0,0.0,414.0
4,37,4050.0,1,1,0.0,0.0,0.0,0.0,0.0,9030,15,47.421901606854,9.317571238599,6.0,6.0,2,0.0,148.0
5,27,150.0,1,1,0.0,0.0,0.0,0.0,0.0,9030,15,47.421901606854,9.317571238599,38.94638748274269,38.94638748274269,2,0.0,0.0
