pk,latitude,longitude,streetAddress
123780,46.186971607855,6.111451234595,"Rte de Chancy 65, 1213 Petit-Lancy, Switzerland"
127459,47.029481603859,7.436641234593,"Moosrainweg 15, 3053 Münchenbuchsee, Switzerland"
128231,47.551931606854,7.593811235593,"Aeschenvorstadt 52, 4051 Basel, Switzerland"
131115,47.380751608856,8.549211234593,"Haldenbachstrasse 26, 8006 Zürich, Switzerland"
137005,47.421901606854,9.317571238599,"Hauptstrasse 15, 9030 Abtwil SG, Switzerland"
137252,46.948181603859,7.445671230599,"Marktgasse 28, 3011 Bern, Switzerland"
138185,47.421901606854,9.317571238599,"Hauptstrasse 15, 9030 Abtwil SG, Switzerland"
141758,46.800291604851,7.144441234591,"Chem. de Bethléem 4, 1700 Fribourg, Switzerland"
152537,47.378831609857,8.431441234593,"In der Breiti 8, 8902 Urdorf, Switzerland"
156899,47.321241606854,8.522071234591,"Im Sihlhof 4, 8134 Adliswil, Switzerland"
156900,47.487271604851,8.766301234591,"Kanzleistrasse 57, 8405 Winterthur, Switzerland"
157200,46.186971607855,6.111451234595,"Rte de Chancy 65, 1213 Petit-Lancy, Switzerland"
162587,47.473251609857,8.308591230591,"Rathausgasse 14, 5400 Baden, Switzerland"
162592,47.473251609857,8.308591230591,"Rathausgasse 14, 5400 Baden, Switzerland"
165916,47.043791600858,8.308461233595,"Neustadtstrasse 16, 6003 Luzern, Switzerland"
165918,47.043791600858,8.308461233595,"Neustadtstrasse 16, 6003 Luzern, Switzerland"
169683,46.186971607855,6.111451234595,"Rte de Chancy 65, 1213 Petit-Lancy, Switzerland"
170230,47.640681604852,9.204041238597,"Seefeldstrasse 30, 8280 Kreuzlingen, Switzerland"
171783,47.565811606854,9.110191234591,"Marktstrasse 28, 8570 Weinfelden, Switzerland"
173073,47.261501603859,9.505601234591,"Widenstrasse 7, 9466 Sennwald, Switzerland"
178240,47.222341606854,7.782101234599,"Aarwangenstrasse 68A, 4900 Langenthal, Switzerland"
178312,46.821671604852,6.648571234593,"RJCX+MC Grandson, Switzerland"
180438,46.397271603851,6.205971233592,"En Fléchère 7A, 1274 Signy-Avenex, Switzerland"
180516,47.511441600858,8.539101234594,"Im Feld 10, 8180 Bülach, Switzerland"
181938,47.515911603859,9.431991234593,"Friedenstrasse 15, 9320 Arbon, Switzerland"
182629,47.414811608856,8.540861234598,"Otto-Schütz-Weg 5, 8050 Zürich, Switzerland"
182737,47.192971604851,7.396901234591,"Bettlachstrasse 7, 2540 Grenchen, Switzerland"
189403,47.328191609857,9.566961236594,"Staatsstrasse 181, 9463 Oberriet, Switzerland"
189404,47.328191609857,9.566961236594,"Staatsstrasse 181, 9463 Oberriet, Switzerland"
192729,47.023001606854,8.308431236596,"Kantonsstrasse 40, 6048 Horw, Switzerland"
194061,46.220141603859,6.109171234591,"Rue François-Durafour 6, 1220 Vernier, Switzerland"
194369,47.497061603859,8.739811234593,"Bäckerstrasse 12, 8400 Winterthur, Switzerland"
195813,47.498221607855,8.796221234591,"St. Gallerstrasse 60, 8352 Elsau, Switzerland"
199531,47.031961604852,8.305721239597,"Zihlmattweg 44, 6005 Luzern, Switzerland"
199532,47.031961604852,8.305721239597,"Zihlmattweg 44, 6005 Luzern, Switzerland"
199534,47.031961604852,8.305721239597,"Zihlmattweg 44, 6005 Luzern, Switzerland"
199549,47.570201606854,7.603161234596,"Erlenmattstrasse 77, 4058 Basel, Switzerland"
201066,47.385681603851,8.492741235591,"Buckhauserstrasse 16, 8048 Zürich, Switzerland"
201067,47.556491604852,7.587551233595,"Rümelinspl. 1, 4001 Basel, Switzerland"
201068,47.556491604852,7.587551233595,"Rümelinspl. 1, 4001 Basel, Switzerland"
201069,47.556491604852,7.587551233595,"Rümelinspl. 1, 4001 Basel, Switzerland"
201070,47.556491604852,7.587551233595,"Rümelinspl. 1, 4001 Basel, Switzerland"
201071,47.385681603851,8.492741235591,"Buckhauserstrasse 16, 8048 Zürich, Switzerland"
201075,47.556491604852,7.587551233595,"Rümelinspl. 1, 4001 Basel, Switzerland"
201076,47.556491604852,7.587551233595,"Rümelinspl. 1, 4001 Basel, Switzerland"
201077,47.556491604852,7.587551233595,"Rümelinspl. 1, 4001 Basel, Switzerland"
201079,47.556401604851,7.588401239591,"Gerbergasse 40, 4001 Basel, Switzerland"
201080,47.570201606854,7.603161234596,"Erlenmattstrasse 77, 4058 Basel, Switzerland"
201081,47.570201606854,7.603161234596,"Erlenmattstrasse 77, 4058 Basel, Switzerland"
201082,47.408011600858,8.547621236593,"Schwamendingenstrasse 15, 8050 Zürich, Switzerland"
201083,47.178981609857,8.457281239592,"Luzernerstrasse 19, 6330 Cham, Switzerland"
201084,47.178981609857,8.457281239592,"Luzernerstrasse 19, 6330 Cham, Switzerland"
201087,47.570201606854,7.603161234596,"Erlenmattstrasse 77, 4058 Basel, Switzerland"
201088,47.570201606854,7.603161234596,"Erlenmattstrasse 77, 4058 Basel, Switzerland"
201089,47.570201606854,7.603161234596,"Erlenmattstrasse 77, 4058 Basel, Switzerland"
201090,47.570201606854,7.603161234596,"Erlenmattstrasse 77, 4058 Basel, Switzerland"
201091,47.570201606854,7.603161234596,"Erlenmattstrasse 77, 4058 Basel, Switzerland"
201097,47.043371606854,8.313061234595,"Tribschenstrasse 24, 6005 Luzern, Switzerland"
201098,47.178981609857,8.457281239592,"Luzernerstrasse 19, 6330 Cham, Switzerland"
201099,47.178981609857,8.457281239592,"Luzernerstrasse 19, 6330 Cham, Switzerland"
201100,47.178981609857,8.457281239592,"Luzernerstrasse 19, 6330 Cham, Switzerland"
201103,47.408011600858,8.547621236593,"Schwamendingenstrasse 15, 8050 Zürich, Switzerland"
201104,47.385681603851,8.492741235591,"Buckhauserstrasse 16, 8048 Zürich, Switzerland"
201115,47.167531606854,8.516281234594,"Zeughausgasse 1, 6300 Zug, Switzerland"
202873,47.490041604851,8.711241230596,"Tössfeldstrasse 67b, 8406 Winterthur, Switzerland"
203151,47.490431605853,8.705321238597,"Zürcherstrasse 143, 8406 Winterthur, Switzerland"
210556,47.029361600858,8.292271234591,"Horwerstrasse 71, 6010 Kriens, Switzerland"
211254,46.516541603851,6.605451234592,"Av. de Rhodanie 70, 1007 Lausanne, Switzerland"
211258,46.516541603851,6.605451234592,"Av. de Rhodanie 70, 1007 Lausanne, Switzerland"
213038,47.373001604852,8.526041234598,"Cramerstrasse 2, 8004 Zürich, Switzerland"
213733,46.204401608856,6.134091234591,"Quai du Seujet 30A, 1201 Genève, Switzerland"
215286,47.544371608856,7.608851235598,"St. Jakob-Strasse 199, 4052 Basel, Switzerland"
215330,45.835381603859,9.026461234599,"Piazza Col. C. Bernasconi 5, 6830 Chiasso, Switzerland"
215672,47.167531606854,8.516281234594,"Zeughausgasse 1, 6300 Zug, Switzerland"
215678,47.408011600858,8.547621236593,"Schwamendingenstrasse 15, 8050 Zürich, Switzerland"
215679,47.408011600858,8.547621236593,"Schwamendingenstrasse 15, 8050 Zürich, Switzerland"
215683,47.386451606854,8.503151234597,"Hohlstrasse 413, 8048 Zürich, Switzerland"
215684,47.386451606854,8.503151234597,"Hohlstrasse 413, 8048 Zürich, Switzerland"
215687,47.386451606854,8.503151234597,"Hohlstrasse 413, 8048 Zürich, Switzerland"
215766,46.731021604851,7.668471234593,"Staatsstrasse 4, 3653 Oberhofen am Thunersee, Switzerland"
215946,47.506451605853,8.718681235597,"Feldstrasse 16, 8400 Winterthur, Switzerland"
216712,47.570201606854,7.603161234596,"Erlenmattstrasse 77, 4058 Basel, Switzerland"
222184,46.897091603851,8.390461234592,"Dörfli 4, 6386 Wolfenschiessen, Switzerland"
222452,47.336571600858,8.578601234591,"Friedhofstrasse 16, 8702 Zollikon, Switzerland"
232410,47.522731608856,7.563041234599,"Amselstrasse 24, 4104 Oberwil, Switzerland"
233080,47.178981609857,8.457281239592,"Luzernerstrasse 19, 6330 Cham, Switzerland"
233084,47.178981609857,8.457281239592,"Luzernerstrasse 19, 6330 Cham, Switzerland"
233091,47.178981609857,8.457281239592,"Luzernerstrasse 19, 6330 Cham, Switzerland"
234495,47.178981609857,8.457281239592,"Luzernerstrasse 19, 6330 Cham, Switzerland"
234507,46.230741605853,7.356471235592,"Av. de Pratifori 5, 1950 Sion, Switzerland"
